date,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,cloud_cover_pct,season
2020-02-01,9.53,59.24,9.69,3.88,11.66,Winter
2020-02-02,4.1,73.92,19.83,4.92,20.43,Winter
2020-02-03,1.15,,20.04,2.89,25.29,Winter
2020-02-04,6.98,67.21,23.92,21.57,38.97,Winter
2020-02-05,1.03,82.25,35.82,1.01,22.73,Winter
2020-02-06,5.51,64.67,19.25,21.71,32.84,Winter
2020-02-07,-0.8,68.53,12.94,9.21,40.01,Winter
2020-02-08,1.29,,16.32,6.07,13.7,Winter
2020-02-09,6.06,75.6,4.12,0.27,25.11,Winter
2020-02-10,7.88,77.32,11.64,5.16,36.47,Winter
2020-02-11,6.39,67.8,13.64,4.19,28.58,Winter
2020-02-12,5.73,76.02,12.83,1.41,19.24,Winter
2020-02-13,5.38,70.71,17.57,8.55,22.41,Winter
2020-02-14,2.06,72.69,10.74,,55.89,Winter
2020-02-15,4.55,75.98,24.35,,11.72,Winter
2020-02-16,5.55,74.03,16.5,10.04,19.33,Winter
2020-02-17,10.32,59.07,16.43,0.57,16.53,Winter
2020-02-18,8.4,75.87,14.2,4.33,36.27,Winter
2020-02-19,2.3,80.27,17.59,,24.69,Winter
2020-02-20,8.79,65.05,22.28,7.59,17.15,Winter
2020-02-21,6.89,71.67,10.43,22.31,36.97,Winter
2020-02-22,6.25,72.68,11.89,8.67,21.66,Winter
2020-02-23,10.34,68.24,14.37,0.64,13.48,Winter
2020-02-24,11.84,62.99,7.08,3.5,32.94,Winter
2020-02-25,11.77,62.43,10.77,6.4,12.04,Winter
2020-02-26,6.7,69.72,13.17,4.13,39.8,Winter
2020-02-27,8.53,74.25,22.62,14.35,41.2,Winter
2020-02-28,10.69,69.38,18.34,13.48,43.05,Winter
2020-02-29,12.86,63.06,17.86,7.57,22.18,Winter
2020-03-01,8.74,72.07,20.96,5.61,23.55,Spring
2020-03-02,9.87,53.07,14.04,3.54,8.85,Spring
2020-03-03,7.35,75.07,17.73,1.34,15.96,Spring
2020-03-04,,60.64,14.28,5.26,29.67,Spring
2020-03-05,13.61,62.51,16.86,6.4,38.72,Spring
2020-03-06,15.49,57.22,10.92,13.52,21.09,Spring
2020-03-07,11.46,59.57,2.07,12.88,27.94,Spring
2020-03-08,14.93,69.07,14.06,0.87,19.27,Spring
2020-03-09,13.26,62.26,24.96,6.04,11.47,Spring
2020-03-10,10.5,68.54,21.48,2.41,28.08,Spring
2020-03-11,13.77,63.96,21.76,2.05,14.6,Spring
2020-03-12,,63.55,23.65,21.07,37.01,Spring
2020-03-13,13.09,65.12,15.62,0.51,15.94,Spring
2020-03-14,18.15,54.28,16.38,6.52,17.97,Spring
2020-03-15,5.85,75.51,10.68,2.21,21.92,Spring
2020-03-16,16.43,59.59,12.79,25.38,40.68,Spring
2020-03-17,14.49,55.84,19.31,9.77,25.08,Spring
2020-03-18,13.59,62.2,23.43,3.16,15.56,Spring
2020-03-19,15.02,70.7,14.02,8.38,30.73,Spring
2020-03-20,9.04,72.23,11.85,15.78,50.74,Spring
2020-03-21,14.6,61.79,15.0,38.07,55.67,Spring
2020-03-22,16.59,60.19,19.21,2.99,32.65,Spring
2020-03-23,20.21,57.43,4.89,26.08,29.57,Spring
2020-03-24,14.48,74.01,1.07,32.67,50.98,Spring
2020-03-25,13.86,66.03,11.15,29.78,35.83,Spring
2020-03-26,15.04,65.33,6.46,12.11,16.13,Spring
2020-03-27,19.55,64.72,11.44,11.93,23.34,Spring
2020-03-28,18.05,61.97,13.97,6.19,37.49,Spring
2020-03-29,15.73,61.33,11.83,16.75,44.58,Spring
2020-03-30,19.11,58.94,25.17,9.09,30.61,Spring
2020-03-31,18.11,60.36,17.29,13.58,16.89,Spring
2020-04-01,20.98,58.24,17.1,6.71,24.08,Spring
2020-04-02,16.22,65.87,19.36,15.78,37.22,Spring
2020-04-03,17.6,61.39,7.03,,40.55,Spring
2020-04-04,17.65,64.75,22.27,1.9,3.27,Spring
2020-04-05,14.69,63.05,14.47,21.47,30.42,Spring
2020-04-06,20.22,59.43,19.69,9.33,27.75,Spring
2020-04-07,,48.93,7.5,22.35,45.47,Spring
2020-04-08,19.83,63.92,4.12,,4.13,Spring
2020-04-09,19.36,61.45,20.73,5.72,23.52,Spring
2020-04-10,16.06,67.35,17.63,29.59,48.06,Spring
2020-04-11,19.28,45.3,8.69,3.47,31.62,Spring
2020-04-12,19.76,69.84,8.91,,47.01,Spring
2020-04-13,18.62,59.62,22.88,7.94,32.97,Spring
2020-04-14,20.77,64.13,6.67,8.66,19.8,Spring
2020-04-15,22.7,51.85,26.5,4.43,4.9,Spring
2020-04-16,27.38,56.37,8.7,10.21,25.26,Spring
2020-04-17,22.48,51.96,19.47,4.72,34.26,Spring
2020-04-18,22.95,53.73,12.7,0.48,34.37,Spring
2020-04-19,22.18,67.03,19.22,3.81,30.53,Spring
2020-04-20,16.87,60.76,11.19,0.08,24.36,Spring
2020-04-21,22.77,58.08,13.86,46.0,65.19,Spring
2020-04-22,23.25,60.96,15.29,40.49,50.88,Spring
2020-04-23,30.68,53.15,7.98,6.03,24.13,Spring
2020-04-24,22.92,57.62,20.19,15.64,50.77,Spring
2020-04-25,24.62,,11.41,,15.16,Spring
2020-04-26,23.82,68.17,13.4,13.34,48.16,Spring
2020-04-27,20.62,58.42,8.04,19.64,34.46,Spring
2020-04-28,27.76,54.01,2.94,35.19,64.93,Spring
2020-04-29,26.79,59.03,13.66,6.13,11.45,Spring
2020-04-30,27.1,,31.89,18.35,42.37,Spring
2020-05-01,22.2,63.39,20.49,3.71,15.97,Spring
2020-05-02,29.33,54.94,14.87,55.67,55.95,Spring
2020-05-03,21.1,52.61,13.16,0.31,22.47,Spring
2020-05-04,27.25,61.57,15.16,11.1,40.09,Spring
2020-05-05,32.25,43.68,18.83,12.93,23.19,Spring
2020-05-06,22.88,58.41,6.73,13.98,17.59,Spring
2020-05-07,24.33,51.97,22.8,1.54,20.47,Spring
2020-05-08,26.5,53.68,20.01,33.47,49.25,Spring
2020-05-09,24.86,56.96,20.03,2.4,27.64,Spring
2020-05-10,21.89,59.3,18.07,11.7,40.02,Spring
2020-05-11,26.91,55.79,15.14,3.02,22.13,Spring
2020-05-12,23.68,64.33,19.71,4.4,42.52,Spring
2020-05-13,28.44,54.72,19.14,9.49,30.78,Spring
2020-05-14,24.41,54.46,12.52,6.48,22.37,Spring
2020-05-15,31.97,54.45,10.98,2.1,5.77,Spring
2020-05-16,25.12,61.06,15.71,2.25,19.4,Spring
2020-05-17,26.64,47.76,25.84,6.5,22.48,Spring
2020-05-18,30.19,54.05,6.33,16.99,44.89,Spring
2020-05-19,24.19,59.36,4.73,27.39,49.28,Spring
2020-05-20,28.69,50.77,16.15,1.05,9.16,Spring
2020-05-21,32.06,56.44,15.36,5.99,27.12,Spring
2020-05-22,23.44,55.71,16.21,1.27,27.86,Spring
2020-05-23,28.93,52.69,16.71,0.2,35.46,Spring
2020-05-24,29.27,50.92,13.44,,40.58,Spring
2020-05-25,30.95,50.53,25.43,11.07,37.57,Spring
2020-05-26,25.0,49.73,3.79,2.14,22.52,Spring
2020-05-27,24.85,48.13,9.2,3.2,26.76,Spring
2020-05-28,30.48,58.8,14.28,0.29,32.75,Spring
2020-05-29,29.9,,3.5,21.62,26.13,Spring
2020-05-30,29.85,46.37,13.77,44.12,56.21,Spring
2020-05-31,30.22,40.26,26.63,1.75,13.85,Spring
2020-06-01,27.23,50.23,15.15,1.32,24.98,Summer
2020-06-02,30.04,44.56,16.61,10.14,41.43,Summer
2020-06-03,30.3,59.18,6.18,13.05,25.78,Summer
2020-06-04,27.34,58.38,10.69,2.72,0.0,Summer
2020-06-05,35.15,43.65,12.37,0.26,16.11,Summer
2020-06-06,31.03,61.64,12.78,0.2,29.32,Summer
2020-06-07,26.09,59.24,23.97,4.27,29.22,Summer
2020-06-08,31.69,48.23,18.9,2.5,26.53,Summer
2020-06-09,26.84,41.24,7.22,0.15,17.33,Summer
2020-06-10,32.17,60.93,16.73,4.38,11.15,Summer
2020-06-11,33.32,41.6,18.49,0.06,25.2,Summer
2020-06-12,27.42,45.04,22.98,7.74,18.62,Summer
2020-06-13,32.8,54.08,26.06,1.83,43.49,Summer
2020-06-14,31.18,62.47,7.89,0.21,25.89,Summer
2020-06-15,32.43,56.19,9.32,4.44,18.19,Summer
2020-06-16,,49.49,6.2,2.53,16.17,Summer
2020-06-17,29.25,54.78,13.36,18.21,35.46,Summer
2020-06-18,27.74,57.29,18.26,3.93,21.14,Summer
2020-06-19,27.33,,21.91,1.61,32.62,Summer
2020-06-20,27.55,54.57,14.47,6.18,27.43,Summer
2020-06-21,29.76,51.92,12.76,1.58,14.11,Summer
2020-06-22,,,16.06,11.73,49.46,Summer
2020-06-23,30.8,46.8,9.15,2.35,22.61,Summer
2020-06-24,32.43,47.86,29.63,3.99,31.28,Summer
2020-06-25,29.97,42.77,3.75,0.26,14.15,Summer
2020-06-26,34.26,47.31,16.29,2.78,26.13,Summer
2020-06-27,29.07,47.01,29.17,8.93,31.15,Summer
2020-06-28,37.99,39.3,15.05,,8.47,Summer
2020-06-29,31.67,50.77,13.67,1.27,41.3,Summer
2020-06-30,27.17,60.43,12.5,1.28,34.06,Summer
2020-07-01,26.48,58.61,13.74,8.5,23.68,Summer
2020-07-02,31.09,42.49,24.61,13.32,20.97,Summer
2020-07-03,28.91,,0.48,0.5,23.93,Summer
2020-07-04,31.66,54.58,25.73,2.99,23.56,Summer
2020-07-05,30.87,45.6,5.03,2.06,25.41,Summer
2020-07-06,29.16,50.76,13.13,10.23,31.12,Summer
2020-07-07,26.76,56.55,12.0,0.44,25.45,Summer
2020-07-08,24.68,,19.12,1.19,35.54,Summer
2020-07-09,27.8,53.49,3.81,6.98,31.96,Summer
2020-07-10,31.62,43.24,18.24,0.26,9.74,Summer
2020-07-11,29.6,,29.17,3.39,36.68,Summer
2020-07-12,25.13,56.71,5.46,2.92,39.03,Summer
2020-07-13,29.28,43.82,16.33,2.04,53.35,Summer
2020-07-14,29.82,53.56,10.37,2.51,11.02,Summer
2020-07-15,25.9,54.39,17.98,3.77,25.83,Summer
2020-07-16,28.9,54.85,15.13,0.88,0.0,Summer
2020-07-17,28.5,53.53,10.51,4.24,29.35,Summer
2020-07-18,24.77,62.21,18.42,8.18,21.88,Summer
2020-07-19,29.15,52.52,27.63,7.14,45.66,Summer
2020-07-20,29.63,49.36,13.66,0.84,13.01,Summer
2020-07-21,31.06,50.97,20.04,0.81,3.84,Summer
2020-07-22,30.84,53.25,5.95,1.56,16.69,Summer
2020-07-23,23.41,56.73,8.3,2.24,2.26,Summer
2020-07-24,24.58,55.75,18.31,2.63,29.87,Summer
2020-07-25,,48.66,25.39,5.69,4.47,Summer
2020-07-26,28.64,48.98,17.49,0.29,20.55,Summer
2020-07-27,28.49,45.4,12.81,0.18,0.0,Summer
2020-07-28,38.34,53.28,15.0,2.49,19.04,Summer
2020-07-29,28.34,46.32,6.25,5.97,41.81,Summer
2020-07-30,29.87,47.85,19.23,1.07,24.57,Summer
2020-07-31,29.15,48.29,21.18,5.13,15.98,Summer
2020-08-01,28.07,57.22,11.84,1.5,21.04,Summer
2020-08-02,25.0,53.74,11.71,10.86,29.96,Summer
2020-08-03,28.04,,16.86,11.3,34.9,Summer
2020-08-04,23.27,53.23,11.94,1.76,7.92,Summer
2020-08-05,24.69,56.85,14.54,1.31,27.1,Summer
2020-08-06,23.76,52.03,29.7,2.65,0.0,Summer
2020-08-07,25.27,65.72,13.27,1.38,14.94,Summer
2020-08-08,31.77,43.85,12.49,5.58,20.14,Summer
2020-08-09,19.03,61.53,10.47,8.75,34.2,Summer
2020-08-10,26.49,57.18,20.21,5.59,25.26,Summer
2020-08-11,19.39,61.76,13.73,,13.77,Summer
2020-08-12,22.61,56.19,10.45,2.53,12.43,Summer
2020-08-13,27.08,52.89,24.25,0.85,22.75,Summer
2020-08-14,23.8,56.39,24.94,6.7,25.24,Summer
2020-08-15,20.16,58.34,10.8,2.24,16.22,Summer
2020-08-16,21.03,63.2,1.93,5.56,20.2,Summer
2020-08-17,25.0,66.26,22.05,1.58,28.38,Summer
2020-08-18,20.55,55.98,10.21,0.42,15.2,Summer
2020-08-19,23.17,49.82,20.53,24.52,41.19,Summer
2020-08-20,22.43,56.82,1.21,0.85,42.46,Summer
2020-08-21,20.11,72.02,21.25,22.29,25.83,Summer
2020-08-22,28.27,48.57,6.52,18.92,18.51,Summer
2020-08-23,23.51,64.6,20.12,7.89,34.94,Summer
2020-08-24,15.3,71.36,15.1,5.39,18.06,Summer
2020-08-25,21.7,55.08,8.32,4.31,20.7,Summer
2020-08-26,18.92,62.92,12.15,,21.24,Summer
2020-08-27,23.22,64.77,19.8,1.71,18.94,Summer
2020-08-28,18.05,58.87,15.74,3.15,38.82,Summer
2020-08-29,19.84,58.32,19.09,,32.37,Summer
2020-08-30,21.46,55.13,28.84,2.65,31.01,Summer
2020-08-31,22.29,52.3,4.05,2.79,8.35,Summer
2020-09-01,15.85,59.28,26.32,4.01,12.1,Autumn
2020-09-02,18.2,54.53,15.73,8.31,0.0,Autumn
2020-09-03,17.53,,8.71,19.01,29.01,Autumn
2020-09-04,16.75,57.96,5.69,2.25,31.59,Autumn
2020-09-05,23.75,57.38,13.68,27.25,49.69,Autumn
2020-09-06,19.42,51.89,21.45,11.68,28.3,Autumn
2020-09-07,,65.53,14.11,,35.38,Autumn
2020-09-08,20.45,,25.58,8.12,20.42,Autumn
2020-09-09,23.81,46.19,4.84,15.12,35.65,Autumn
2020-09-10,20.28,60.85,14.92,0.16,27.81,Autumn
2020-09-11,12.37,71.45,6.23,17.06,19.19,Autumn
2020-09-12,15.22,56.98,17.55,0.41,23.37,Autumn
2020-09-13,20.22,67.4,21.21,22.06,49.18,Autumn
2020-09-14,14.04,66.07,12.05,48.24,59.26,Autumn
2020-09-15,17.23,57.9,3.23,3.48,30.14,Autumn
2020-09-16,17.97,60.55,16.39,2.36,50.27,Autumn
2020-09-17,12.61,67.91,18.06,14.5,32.0,Autumn
2020-09-18,14.95,63.63,17.83,2.92,26.56,Autumn
2020-09-19,5.15,73.78,23.65,20.07,30.68,Autumn
2020-09-20,11.54,61.37,7.5,1.09,22.79,Autumn
2020-09-21,,65.18,19.76,1.35,25.81,Autumn
2020-09-22,10.35,59.86,23.35,38.7,56.78,Autumn
2020-09-23,18.74,59.66,2.55,11.2,19.89,Autumn
2020-09-24,9.29,63.26,17.24,18.77,38.95,Autumn
2020-09-25,12.0,61.93,11.47,3.92,38.15,Autumn
2020-09-26,13.46,70.62,14.43,,34.64,Autumn
2020-09-27,17.14,66.96,17.43,9.02,37.74,Autumn
2020-09-28,8.25,71.65,11.59,,25.95,Autumn
2020-09-29,15.79,57.11,10.27,11.47,37.83,Autumn
2020-09-30,12.08,63.96,15.24,,30.5,Autumn
2020-10-01,8.85,74.19,7.39,5.6,15.54,Autumn
2020-10-02,12.93,65.57,7.4,3.23,26.09,Autumn
2020-10-03,11.89,77.29,19.76,14.64,23.25,Autumn
2020-10-04,9.24,69.78,6.96,2.57,15.98,Autumn
2020-10-05,11.01,67.36,19.66,11.79,32.5,Autumn
2020-10-06,9.39,66.15,18.24,2.66,25.36,Autumn
2020-10-07,10.64,67.36,2.92,9.82,16.94,Autumn
2020-10-08,12.05,64.81,10.26,13.75,42.91,Autumn
2020-10-09,14.57,67.09,23.36,,27.94,Autumn
2020-10-10,5.86,75.3,8.13,0.62,13.51,Autumn
2020-10-11,15.73,58.69,11.75,1.4,5.89,Autumn
2020-10-12,3.24,65.96,18.23,9.31,26.93,Autumn
2020-10-13,8.4,59.3,20.48,18.93,32.58,Autumn
2020-10-14,10.39,69.44,13.24,0.46,21.55,Autumn
2020-10-15,9.24,62.3,10.82,13.25,28.29,Autumn
2020-10-16,6.29,59.41,24.96,4.18,3.68,Autumn
2020-10-17,7.31,71.3,27.17,6.51,21.98,Autumn
2020-10-18,6.23,82.69,21.85,26.43,40.73,Autumn
2020-10-19,5.71,70.61,15.6,4.03,29.97,Autumn
2020-10-20,9.81,71.55,9.34,6.26,18.65,Autumn
2020-10-21,8.11,69.13,9.19,0.14,36.91,Autumn
2020-10-22,4.74,70.92,18.66,0.85,1.65,Autumn
2020-10-23,9.3,72.36,17.93,2.99,35.8,Autumn
2020-10-24,7.32,,24.81,0.28,18.01,Autumn
2020-10-25,8.62,69.65,19.55,9.98,37.58,Autumn
2020-10-26,7.86,70.53,4.48,5.56,25.8,Autumn
2020-10-27,3.28,69.24,22.36,7.94,38.55,Autumn
2020-10-28,3.89,77.06,8.01,1.92,17.85,Autumn
2020-10-29,7.61,68.24,12.31,3.51,12.17,Autumn
2020-10-30,7.0,,16.75,10.9,44.02,Autumn
2020-10-31,4.92,73.96,28.97,33.61,49.12,Autumn
2020-11-01,5.14,66.6,36.77,0.52,22.68,Autumn
2020-11-02,8.43,68.6,19.25,22.11,52.24,Autumn
2020-11-03,2.64,73.05,13.72,8.6,17.42,Autumn
2020-11-04,5.88,75.94,18.74,8.3,33.42,Autumn
2020-11-05,3.45,74.82,21.21,,20.34,Autumn
2020-11-06,3.23,72.5,12.76,0.72,19.33,Autumn
2020-11-07,7.01,73.69,27.57,0.94,21.57,Autumn
2020-11-08,6.02,77.34,16.61,9.19,13.26,Autumn
2020-11-09,5.82,,18.48,4.17,15.96,Autumn
2020-11-10,7.13,69.55,19.66,24.92,55.94,Autumn
2020-11-11,3.12,66.15,17.95,5.22,33.56,Autumn
2020-11-12,,65.92,20.87,1.55,20.77,Autumn
2020-11-13,1.82,,10.68,12.54,33.72,Autumn
2020-11-14,3.58,69.3,11.09,3.47,20.18,Autumn
2020-11-15,2.07,72.62,7.3,7.45,40.27,Autumn
2020-11-16,2.61,73.4,18.08,11.97,28.77,Autumn
2020-11-17,3.97,74.68,20.45,,43.07,Autumn
2020-11-18,-0.4,75.18,18.2,15.71,45.6,Autumn
2020-11-19,8.2,71.08,26.72,11.28,22.38,Autumn
2020-11-20,-1.22,76.51,14.96,11.38,45.83,Autumn
2020-11-21,-1.96,66.9,19.68,29.17,30.95,Autumn
2020-11-22,5.04,66.48,7.36,3.51,39.45,Autumn
2020-11-23,3.82,71.43,12.29,0.01,16.28,Autumn
2020-11-24,3.21,66.59,19.87,3.17,20.43,Autumn
2020-11-25,3.12,75.71,20.94,2.46,3.31,Autumn
2020-11-26,1.1,81.98,12.94,10.84,25.21,Autumn
2020-11-27,-1.65,82.62,14.5,10.04,18.64,Autumn
2020-11-28,1.17,73.2,4.37,9.0,22.02,Autumn
2020-11-29,-1.17,83.6,12.5,0.16,18.77,Autumn
2020-11-30,3.7,72.99,21.23,13.05,41.32,Autumn
2020-12-01,0.25,,20.53,3.13,24.89,Winter
2020-12-02,-1.86,73.63,20.0,8.75,30.95,Winter
2020-12-03,-0.42,74.03,16.85,6.51,14.9,Winter
2020-12-04,1.72,71.89,16.55,3.36,14.21,Winter
2020-12-05,-1.27,77.08,11.88,1.16,39.03,Winter
2020-12-06,-2.11,,21.39,0.79,13.36,Winter
2020-12-07,1.04,74.39,19.45,14.25,49.38,Winter
2020-12-08,0.99,76.6,19.94,20.05,35.61,Winter
2020-12-09,-1.31,82.21,12.82,8.39,27.58,Winter
2020-12-10,-1.24,80.95,1.57,0.87,31.49,Winter
2020-12-11,0.83,67.12,24.18,4.11,36.42,Winter
2020-12-12,-4.24,65.83,13.15,10.44,28.29,Winter
2020-12-13,-4.15,83.2,10.46,12.11,27.01,Winter
2020-12-14,-2.11,70.06,21.35,1.01,20.35,Winter
2020-12-15,-0.61,74.57,13.76,0.0,23.38,Winter
2020-12-16,0.95,68.6,23.92,9.96,37.88,Winter
2020-12-17,,62.65,20.82,3.53,23.22,Winter
2020-12-18,2.57,75.86,21.28,2.35,28.3,Winter
2020-12-19,-0.48,79.39,6.94,0.1,36.48,Winter
2020-12-20,-0.05,72.37,24.98,6.22,29.41,Winter
2020-12-21,-3.0,64.65,18.33,15.24,36.83,Winter
2020-12-22,-0.03,72.5,13.92,25.29,27.57,Winter
2020-12-23,-0.83,,17.5,6.67,0.0,Winter
2020-12-24,1.03,66.99,4.07,5.78,29.09,Winter
2020-12-25,-2.39,78.04,19.36,,19.69,Winter
2020-12-26,1.67,73.79,9.29,6.37,20.58,Winter
2020-12-27,4.75,74.31,7.03,3.82,25.88,Winter
2020-12-28,-0.14,75.92,5.84,7.47,26.12,Winter
2020-12-29,1.44,69.19,24.29,3.94,34.82,Winter
2020-12-30,2.35,79.31,12.1,2.2,22.84,Winter
2020-12-31,-0.87,75.11,27.24,0.8,13.25,Winter
2021-01-01,1.0,74.27,12.75,3.03,32.62,Winter
2021-01-02,0.43,70.2,4.55,0.81,18.56,Winter
2021-01-03,0.74,72.4,8.68,1.56,26.67,Winter
2021-01-04,-1.81,72.23,25.15,34.95,46.68,Winter
2021-01-05,0.66,73.82,15.41,4.7,17.73,Winter
2021-01-06,2.15,82.05,12.66,6.07,26.31,Winter
2021-01-07,5.09,64.28,17.62,16.55,35.02,Winter
2021-01-08,3.69,64.19,20.01,43.35,63.82,Winter
2021-01-09,7.36,76.67,24.32,6.99,23.61,Winter
2021-01-10,-1.31,75.21,26.64,13.39,13.69,Winter
2021-01-11,3.7,68.9,13.98,3.17,18.52,Winter
2021-01-12,1.74,79.02,7.22,2.92,30.57,Winter
2021-01-13,7.86,65.89,13.61,4.12,20.74,Winter
2021-01-14,-1.03,85.16,18.32,8.93,25.57,Winter
2021-01-15,-1.01,79.41,9.75,9.17,38.12,Winter
2021-01-16,-0.18,72.91,9.8,3.03,15.61,Winter
2021-01-17,-4.63,,18.91,1.14,5.6,Winter
2021-01-18,0.28,71.95,16.16,8.01,25.6,Winter
2021-01-19,-0.29,79.15,16.73,1.1,16.15,Winter
2021-01-20,2.57,74.65,11.19,6.91,16.56,Winter
2021-01-21,3.28,79.09,14.89,9.46,26.76,Winter
2021-01-22,8.02,,10.03,9.65,33.6,Winter
2021-01-23,5.38,71.06,22.73,11.2,29.99,Winter
2021-01-24,0.95,70.68,23.75,16.5,37.92,Winter
2021-01-25,0.13,77.4,3.58,,43.12,Winter
2021-01-26,4.46,68.26,9.99,,26.01,Winter
2021-01-27,,85.94,6.02,7.72,29.73,Winter
2021-01-28,8.79,68.86,11.95,1.65,16.4,Winter
2021-01-29,7.0,67.78,15.92,0.21,11.72,Winter
2021-01-30,2.22,74.36,6.35,2.68,16.56,Winter
2021-01-31,-1.34,69.55,10.05,4.68,19.43,Winter
2021-02-01,8.03,63.93,9.47,7.68,30.51,Winter
2021-02-02,3.8,78.17,17.95,15.17,57.15,Winter
2021-02-03,8.04,65.49,16.99,1.75,14.41,Winter
2021-02-04,-0.28,70.19,11.45,1.07,16.8,Winter
2021-02-05,2.9,75.57,17.74,26.48,43.2,Winter
2021-02-06,4.9,77.22,12.67,0.91,24.78,Winter
2021-02-07,5.22,74.63,14.6,5.21,27.32,Winter
2021-02-08,3.92,77.05,28.21,7.05,39.18,Winter
2021-02-09,7.34,,25.88,6.24,1.35,Winter
2021-02-10,2.47,66.13,7.4,,0.0,Winter
2021-02-11,,78.36,22.31,0.47,15.46,Winter
2021-02-12,6.44,68.44,22.18,0.89,31.78,Winter
2021-02-13,,67.69,8.46,7.05,10.69,Winter
2021-02-14,8.63,74.94,22.23,6.29,0.0,Winter
2021-02-15,3.34,75.32,27.27,2.13,27.63,Winter
2021-02-16,2.33,75.63,8.64,8.12,29.75,Winter
2021-02-17,10.98,77.25,10.08,13.72,21.45,Winter
2021-02-18,8.37,65.3,23.62,0.34,10.45,Winter
2021-02-19,5.35,75.57,18.4,5.52,15.27,Winter
2021-02-20,12.47,65.52,20.36,9.35,29.52,Winter
2021-02-21,8.39,69.84,18.88,,15.83,Winter
2021-02-22,11.81,73.4,19.23,2.94,27.59,Winter
2021-02-23,8.71,70.78,7.21,7.61,0.0,Winter
2021-02-24,14.92,65.96,23.83,18.26,27.86,Winter
2021-02-25,14.24,69.18,24.69,13.28,20.69,Winter
2021-02-26,8.47,66.61,14.89,7.0,23.74,Winter
2021-02-27,12.37,61.12,16.2,10.48,24.05,Winter
2021-02-28,11.63,60.68,5.78,3.63,31.25,Winter
2021-03-01,14.04,54.14,18.6,12.29,12.47,Spring
2021-03-02,7.29,79.66,19.0,7.53,27.23,Spring
2021-03-03,12.48,59.7,14.56,2.53,27.86,Spring
2021-03-04,13.85,63.02,22.87,14.52,51.63,Spring
2021-03-05,5.64,69.31,12.66,9.76,23.96,Spring
2021-03-06,7.62,70.65,18.95,5.33,28.04,Spring
2021-03-07,5.3,75.05,7.86,29.08,28.13,Spring
2021-03-08,10.86,70.82,14.84,0.25,0.0,Spring
2021-03-09,14.08,61.03,13.78,4.55,32.55,Spring
2021-03-10,16.68,61.03,16.58,0.7,20.58,Spring
2021-03-11,12.65,66.5,12.41,17.46,47.5,Spring
2021-03-12,17.57,59.91,14.08,14.53,19.35,Spring
2021-03-13,8.8,76.2,20.78,4.83,29.55,Spring
2021-03-14,8.09,71.19,11.94,13.51,50.85,Spring
2021-03-15,13.29,68.25,3.75,6.05,29.64,Spring
2021-03-16,14.86,66.63,27.25,16.94,38.01,Spring
2021-03-17,13.87,69.98,24.67,7.27,26.62,Spring
2021-03-18,,69.69,5.95,6.38,10.03,Spring
2021-03-19,14.22,57.35,19.83,32.75,63.03,Spring
2021-03-20,10.83,68.54,11.48,3.47,17.01,Spring
2021-03-21,17.01,58.34,16.84,1.54,26.43,Spring
2021-03-22,16.36,59.48,17.06,10.54,13.86,Spring
2021-03-23,12.7,67.98,13.36,41.81,45.83,Spring
2021-03-24,14.23,70.01,9.51,5.69,39.48,Spring
2021-03-25,12.85,65.03,10.17,0.77,17.22,Spring
